Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
530010805150028;1;0;385928;385928;0;0;2;14;62;61;15;14;1;0;6;
530010805150029;1;0;436467;436467;0;0;4;24;44;49;31;9;6;0;1;
530010805150030;1;0;519330;519330;0;0;4;15;52;52;23;19;5;1;3;
530010805150031;1;0;516190;516190;0;0;7;19;60;63;22;15;7;1;2;
530010805150032;1;0;383319;383319;0;0;6;30;55;55;12;11;3;1;14;
530010805150033;1;0;600499;600499;0;0;1;14;39;55;18;23;11;3;3;
530010805150034;1;0;449827;449827;0;0;0;22;54;56;17;9;8;0;0;
530010805150035;1;0;658021;658021;0;0;4;19;44;48;34;21;13;3;7;
530010805150036;1;0;552591;552591;0;0;7;29;61;62;25;16;6;3;3;
530010805150037;1;0;443444;443444;0;1;5;21;43;48;16;21;2;1;9;
530010805150038;1;0;569996;569996;0;0;0;18;47;82;34;11;8;0;1;
530010805150039;1;0;573002;573002;0;0;7;21;78;58;31;17;6;1;1;
530010805150040;1;0;373568;373568;0;1;5;20;34;52;21;11;5;0;2;
530010805150041;1;0;457892;457892;0;0;6;32;70;44;20;17;5;0;2;
530010805150042;1;0;1009184;1009184;0;1;1;37;78;118;40;38;17;2;4;
530010805150043;1;0;443386;443386;0;0;3;23;49;51;23;13;8;0;3;
530010805150044;1;0;431163;431163;0;0;3;19;62;59;18;13;7;0;2;
530010805150045;1;0;456495;456495;0;0;1;25;74;50;24;17;5;0;4;
530010805150046;1;0;576028;576028;0;0;9;45;103;84;25;18;4;1;7;
530010805150047;1;0;472322;472322;0;2;5;21;48;72;27;18;11;1;2;
530010805150048;1;0;528462;528462;0;5;17;49;64;62;16;12;7;1;20;
530010805150049;1;0;449142;449142;0;2;4;35;63;55;22;10;7;2;16;
530010805150050;1;0;475157;475157;0;0;4;29;57;68;20;16;7;1;9;
530010805150051;1;0;556493;556493;0;1;3;24;70;85;22;21;9;0;3;
530010805150052;1;0;531558;531558;0;0;12;29;68;68;29;19;4;0;5;
530010805150053;1;0;420522;420522;0;2;10;26;66;54;24;9;5;1;4;
530010805150054;1;0;772362;772362;0;2;3;30;76;74;33;21;7;2;5;
530010805150055;1;1;636896;636096;800;3;10;49;109;83;35;19;10;1;4;
530010805150056;1;0;480909;480909;0;5;8;40;61;54;23;13;3;2;25;
530010805150057;1;0;480696;480696;0;1;6;25;85;58;32;8;4;2;0;
530010805150058;1;0;383639;383639;0;0;6;25;55;44;15;10;7;1;2;
530010805150059;1;0;421697;421697;0;0;1;28;48;57;25;12;8;0;12;
530010805150060;1;0;479096;479096;0;0;8;13;60;44;23;13;7;2;7;
530010805150061;1;1;539223;537223;2000;0;3;18;40;54;30;20;6;1;3;
530010805150062;1;4;462641;457841;4800;0;3;7;37;42;25;15;10;0;1;
530010805150063;1;0;694927;694927;0;2;2;17;52;70;25;18;18;3;3;
530010805150064;1;0;601408;601408;0;0;4;22;41;52;24;29;8;4;1;
530010805150065;1;0;378647;378647;0;0;2;24;49;61;18;7;5;2;13;
530010805150066;1;0;414701;414701;0;1;1;17;57;53;18;8;4;2;11;
530010805150067;1;0;405620;405620;0;0;3;24;48;51;16;8;4;2;9;
530010805150068;1;0;567009;567009;0;1;0;20;46;67;17;19;8;2;5;
530010805150069;1;0;429000;429000;0;1;4;15;55;52;21;15;4;0;1;
530010805150070;1;0;450146;450146;0;0;8;24;60;64;21;13;2;1;6;
530010805150071;1;0;525073;525073;0;2;8;32;78;59;20;13;3;3;14;
530010805150072;1;0;368633;368633;0;0;3;18;59;64;21;5;4;0;3;
530010805150073;1;0;440664;440664;0;0;2;26;65;50;24;11;3;0;1;
530010805150074;1;1;410430;409530;900;2;10;27;69;57;19;9;3;1;1;
530010805150075;1;0;428014;428014;0;1;4;20;50;53;25;13;5;0;2;
530010805150076;1;0;373600;373600;0;1;8;24;61;53;14;13;2;0;3;
530010805150077;1;0;435450;435450;0;0;2;22;66;60;16;12;3;1;1;
530010805150078;1;0;441291;441291;0;0;5;14;64;60;17;17;4;0;5;
530010805150079;1;0;335369;335369;0;0;3;32;53;34;17;11;5;0;10;
530010805150080;1;0;342285;342285;0;0;4;33;61;45;11;6;4;0;5;
530010805150081;1;2;452917;447117;5800;0;7;31;62;60;16;8;5;0;3;
530010805150082;1;0;447125;447125;0;0;3;35;65;58;15;13;7;0;10;
530010805150083;1;0;363002;363002;0;0;3;17;56;60;10;8;1;2;2;
530010805150084;1;0;437624;437624;0;1;3;16;54;37;21;20;4;0;4;
530010805150085;1;0;241630;241630;0;2;10;38;32;30;11;3;2;0;19;
530010805150086;1;0;488056;488056;0;0;0;12;50;67;25;10;5;3;1;
530010805150087;1;0;669556;669556;0;0;2;36;61;81;42;22;6;1;2;
530010805150088;1;0;384758;384758;0;0;5;28;51;40;22;12;7;0;29;
530010805150089;1;0;539032;539032;0;0;4;21;44;61;29;20;7;2;2;
530010805150090;1;8;637239;630259;6980;1;3;31;58;56;25;23;10;2;5;
530010805150091;1;2;443641;439131;4510;1;2;32;56;57;20;13;2;1;0;
530010805150092;1;0;536008;536008;0;1;2;18;52;69;24;24;3;2;1;
530010805150093;1;0;427364;427364;0;0;5;27;69;37;20;13;7;2;4;
530010805150094;1;1;405369;400369;5000;0;3;23;59;49;10;14;6;0;3;
530010805150095;1;0;495079;495079;0;2;4;32;80;57;27;16;3;1;10;
530010805150096;1;0;358605;358605;0;0;2;8;53;55;10;14;3;1;13;
530010805150097;1;0;343962;343962;0;1;7;21;54;49;4;4;4;4;3;
530010805150098;1;0;476361;476361;0;2;7;32;72;60;25;12;2;1;2;
530010805150099;1;0;402000;402000;0;1;5;28;39;50;14;14;4;3;5;
530010805150100;1;0;583567;583567;0;0;10;51;87;74;24;9;4;2;3;
