Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
530010805150100;1;127;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3;1;0;3;1;4;5;2;4;2;5;5;5;6;1;5;4;4;2;3;4;4;4;3;1;1;1;1;2;2;3;0;1;1;2;2;2;1;0;3;3;2;2;0;1;0;0;2;2;0;1;2;0;0;2;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;117;0;0;5;9;17;22;17;13;9;6;6;4;4;1;4
530010805150101;1;101;0;0;0;0;0;0;0;0;0;0;0;2;0;3;1;1;1;0;2;0;3;3;3;3;2;2;3;6;1;3;2;4;1;2;1;4;1;3;2;1;2;4;3;2;1;0;0;1;2;3;3;2;0;2;1;2;0;1;1;1;1;1;3;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;93;0;0;6;4;14;15;10;11;11;6;6;3;4;2;1
530010805150102;1;104;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;2;3;3;4;4;4;2;3;3;2;4;3;4;6;3;4;3;0;4;0;0;1;1;2;1;2;3;3;0;2;2;2;1;1;1;0;1;1;0;1;1;2;2;0;0;1;2;0;1;0;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;1;2;13;16;19;13;4;7;6;3;5;2;3;1
530010805150103;1;110;0;0;0;0;0;0;1;0;0;0;1;3;1;1;2;1;2;2;1;3;2;1;4;4;2;3;2;1;2;2;1;4;2;1;1;5;6;1;0;2;1;3;0;1;3;0;2;2;0;2;7;0;2;1;2;1;1;0;3;1;3;2;1;0;2;1;0;0;1;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;101;0;1;8;9;13;10;8;14;7;6;10;5;7;2;1
530010805150104;1;53;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;1;1;0;0;1;2;2;1;2;0;1;5;1;3;1;2;0;1;1;2;3;1;0;1;0;0;0;0;0;1;0;0;2;0;2;3;0;0;2;0;0;0;0;1;0;1;0;0;0;0;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;4;2;6;9;7;7;1;3;3;1;2;3;1
530010805150105;1;63;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;1;1;0;0;1;1;1;1;2;3;1;2;2;0;2;2;3;2;2;1;1;0;3;3;0;0;1;4;0;0;0;1;0;1;3;0;0;0;1;1;0;1;0;2;0;1;0;1;0;1;1;2;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;4;3;7;7;10;7;5;4;2;2;3;3;2
530010805150106;1;123;0;0;0;3;0;0;0;3;0;1;0;2;1;3;2;4;3;3;5;1;5;4;2;1;3;3;1;4;4;1;0;3;2;3;4;2;3;2;4;2;1;2;3;1;0;0;1;2;1;2;1;3;3;1;2;1;0;2;0;1;2;1;0;0;0;2;0;2;2;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;113;3;4;7;16;15;13;12;13;7;5;8;3;1;5;1
530010805150107;1;63;0;0;0;0;0;0;0;0;1;0;1;0;0;3;1;1;0;0;1;1;1;1;1;1;1;4;0;3;3;1;2;2;0;4;2;1;2;2;1;1;0;0;0;2;1;1;2;1;1;1;2;2;1;0;0;1;2;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;1;5;3;5;11;9;7;2;6;5;3;2;0;0
530010805150108;1;70;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;1;0;2;1;1;2;0;0;0;1;1;0;1;1;4;2;1;4;1;2;2;1;1;0;1;1;1;1;1;2;0;1;1;2;2;1;0;3;0;1;3;1;2;1;2;0;4;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;63;0;0;2;7;3;4;12;6;5;6;4;6;6;0;2
530010805150109;1;49;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;4;0;2;0;2;2;0;0;1;1;1;2;0;0;0;1;2;2;3;0;0;3;1;2;0;0;1;0;1;1;2;1;2;1;0;3;0;0;1;0;1;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;1;1;8;4;3;8;6;3;6;4;2;1;1
